"context","source","target"
"_Item_RingOfProtection_plus_one_Title","Ring of Protection +1"
"PickupQuest_Item_Cypher_Description","This ancient item was used by the intelligence service of the Manacalon Empire. With the right skill, a spy could use this mechanical device to encrypt or decrypt a written message without using magic."
"Flaming_Arrow_Title","Flaming Arrow"
"Corrosive_Arrow_Title","Corrosive Arrow"
"Flash_Arrow_Title","Flash Arrow"
"Flaming_Bolt_Title","Flaming Bolt"
"Corrosive_Bolt_Title","Corrosive Bolt"
"Flash_Bolt_Title","Flash Bolt"
"AlchemicalProjectile_Description","This projectile uses an alchemical flask for additional damage."
"Flaming_Arrow_CraftingRecipe_Title","Craft 5 Flaming Arrows"
"Corrosive_Arrow_CraftingRecipe_Title","Craft 5 Corrosive Arrows"
"Flash_Arrow_CraftingRecipe_Title","Craft 5 Flash Arrows"
"Flaming_Bolt_CraftingRecipe_Title","Craft 5 Flaming Bolts"
"Corrosive_Bolt_CraftingRecipe_Title","Craft 5 Corrosive Bolts"
"Flash_Bolt_CraftingRecipe_Title","Craft 5 Flash Bolts"
"ContainerHarvestable_LavaStone_Title","Lava Stones"
"ContainerHarvestable_LavaStone_Description","These primordial stones are only found where extreme heat has melted rare stones with magic."
"Quarterstaff_plus_2_Description","This magical quarterstaff has been enchanted by sylvan wizards using a blood gem."
"Quarterstaff_plus_one_TypeTitle","Quarterstaff +1"
"Quarterstaff_plus_one_Description","This beautiful quarterstaff was crafted by wizards of an old and almost forgotten tradition: the Stonemages."
"Dagger_plus_two_Description","This elegant curvy dagger is a great magical weapon crafted by an old tradition of wizards known as Court Mages."
"ShortbowPlus_2_TypeDescription","A classic weapon from the workshops of Defineth Sharpsight, a renowned sylvan elf enchanter."
"LongbowPlusoneTypeDescription","A hunting weapon whose design is the trademark of Defineth Sharpsight, the famous sylvan elf enchanter."
"Morningstar_plus_two_Description","A weapon typical of the Tirmarian clerics who fought alongside the Solastan troops at the Battle of the Rift!"
"Longsword_plus_2_Description","A trademark weapon from the workshops of Elgador Keenspirit, Magesmith of the Arcaneum. Probably from the Manacalon Expansion era."
"Adrasteia_Letter_Title","Adrasteia's Plea"
"Adrasteia_Letter_Description","You found this letter in a backpack after leaving Adrasteia. She must have used her magic; she couldn't have written this with her claws!"
"Adrasteia_Letter_Content0","Friends, as you must remember, I asked for your help to cleanse the surroundings of my tower of this undead creature you call a defiler. My modest divination powers taught me that the creature's name is Razan Holarant. It has established his home in the underground tunnels beneath the ruins outside. "
"Adrasteia_Letter_Content1","Yet, you may be able to draw him out of hiding, though only at night, if you open a tomb inside one of the old buildings. Apparently, he brought the remnants of his deceased wife and children to rest there. It would appear the creature might have had a soul, after all, although I understand he sacrificed his family for eternal life."
"Adrasteia_Letter_Content2","Such a crime cannot remain unpunished. Therefore, as ruler of this land, I hereby grant you license to put an end to the very existence of this foulness in my name."
"Adrasteia_Letter_Content3","Yours truly, Adrasteia Epimeles Aspis"
"Razan_Letter_Title","Strange Letter"
"Razan_Letter_Description","This short letter was probably written for one of the deceased in the coffin, though its contents are disturbing and do not look like a typical farewell letter to the dead."
"Razan_Letter_Content0","My love, I have a new daughter. Her name is Estalla. Of course, she doesn't have your blood, but she has mine. Unlike you, she will be by my side forever. Rest in peace in your new home.

Razan"
"Estalla_Letter_Title","Farewell Letter"
"Estalla_Letter_Description","This was probably written by the young defiler you just destroyed."
"Estalla_Letter_Content0","Farewell, old friend. Never again shall you warm my skin and soothe my sadness. Today, I embrace the night. Today, I enter eternity. I reject the gods and their power, I become one with darkness.

Estalla Mertvykh
Born 1005 A.C.
Reborn 1024 A.C."
"Slippers_Title","Slippers of Spider Climbing"
"Slippers_Description","These magical slippers have a very shady origin. Probably made by some crazy Manacalon wizard to walk the walls of his manor in a cozy fashion."
"BattleAxe_plus_1_Title","Battleaxe +1"
"BattleAxe_plus_1_Description","A typical dwarven weapon, probably crafted by the smiths of the Snow Alliance."
"PickupQuest_Item_LavaForest_Title","Dwarven Hammer"
"PickupQuest_Item_LavaForest_Description","This looks like a Dwarven Thrower, but it seems to be protected by some kind of powerful spell, and it is just as though no one is able to yield its magic. Maybe you're just not worthy."
"Item_Tome_Conjuration_Title","Tome of All Things"
"Item_Tome_Conjuration_Description","Incredible as it might be, carrying this book in your Utility Slot makes you all-powerful. Why would anyone leave this here?"
"ElvenThinblade_plus_one_Unidentified_Title","Elven Shortsword"
"ElvenThinblade_plus_one_Unidentified_Description","This fine, elegant shortsword is a masterpiece of ancient Manacalon smithing. It is so light and sharp that it might be magical."
"ElvenThinblade_plus_one_TypeTitle","Elven Thinblade"
"ElvenThinblade_plus_one_Description","These rare weapons were all crafted by the hand of Defineth Sharpsight himself. They were prized by master spies of the Silent Whisper, for they ally the qualities of finesse and light blades with unmatched sharpness."
"Shortsword_plus_two_TypeTitle","Shortsword +2"
"Shortsword_plus_two_Description","A typical blade design from Elgador Keenspirit, Magesmith of the Arcaneum."
"Scimitar_plus_one_Unidentified_Title","Superb Scimitar"
"Scimitar_plus_one_Unidentified_Description","This elegant scimitar is clearly the work of a master smith, and may even be magical."
"Scimitar_plus_one_Title","Scimitar +1"
"Scimitar_plus_one_Description","This weapon was forged on Tirmar and was the trademark of the spies of the Inquisition during the dark ages."
"Rapier_plus_two_TypeTitle","Rapier +2"
"Rapier_plus_two_Description","A masterpiece from Griff Blackheart, renowned for his deadly rapiers."
"Longbow_plus_2_Title","Longbow +2"
"Longbow_plus_2_Description","Defineth Sharpsight, the famous sylvan elf enchanter who designed many various bows, created this bow for only one, grim purpose: to kill his cousins, the elves of the Manacalon Empire."
"Mace_plus_two_Title","Mace +2"
"Mace_plus_two_Description","This weapon was typically wielded by veterans of the Golden Cavalry for devastating effect on the frontlines."
"Greataxe_plus_01_Title","Greataxe +1"
"Greataxe_plus_01_Description","A typical dwarven weapon, probably crafted by the smiths of the Snow Alliance."
"Greataxe_plus_01_unidentified_Title","Superb Greataxe"
"Greataxe_plus_01_unidentified_Description","A finely decorated greataxe with runic engravings."
"Greataxe_plus_2_Title","Greataxe +2"
"BattleAxe_plus_2_Title","A masterpiece by Galar Stormforge, forged in the fires of the northern mountains and soaked in the eternal snows."
"Handaxe_plus_01_Description","A typical weapon forged by the dwarven smiths of the Snow Alliance."
"Warhammer_plus_02_Title","Warhammer +2"
"Warhammer_plus_02_Description","A light and beautifully crafted warhammer, made by Galar Stormforge, as a prototype for a more powerful weapon."
"Warhammer_plus_01_Description","A typical weapon forged by the dwarven smiths of the Snow Alliance."
"Shortsword_plus_1_Description","Though it follows the style of Defineth Sharpsight, this is obviously a copy and not a product of the master smith. Still, it's a very good magical weapon."
"Rapier_plus_1_Description","A beautifully crafted blade, very popular on the ships that sail around the Southern Islands."
"TomeOfAllThingsFunction_Description","While you are carrying the Tome of All Things in your Utility Slot, all your ability scores equal 20."
"FunctionCommandFear_Description","Command one target to flee in terror."
"FunctionConeFear_Description","Cause all enemies in a 12-cell-long cone to flee in terror."
"ItemFlagQuestDescription","This item is necessary for the completion of a quest and cannot be dropped or sold."
"ItemFlagPrimedDescription","Prepared by a Manacalon enchanter, this item can be crafted into a magical version using a Manacalon Rosary and the appropriate ingredient."
"ItemFlagIngredientDescription","This item contains magical potential and can be used to craft a magical item, provided it is primed."
"ItemFlag_Flash_Description","Deals 1d6 radiant damage."
"ItemFlag_Corrosive_Description","Deals 1d6 acid damage."
"ItemFlag_Flaming_Description","Deals 1d6 fire damage."
"ItemFlagPoison_1D4_Description","Deals 1d4 poison damage."
"ItemFlagPoison_1D8_Description","Deals 1d8 poison damage."
"ItemFlagPoison_1D6_Description","Deals 1d6 poison damage."
"ItemFlagPoison_2D4_Description","Deals 2d4 poison damage."
"ItemFlagPoison_2D8_Description","Deals 2d8 poison damage."
"ItemFlagPoison_3D6_Description","Deals 3d6 poison damage."
"ItemFlagPoison_3D8_Description","Deals 3d8 poison damage."
"ItemFlagPoison_Poisoned_Description","Causes the poisoned condition."
"ItemFlagPoison_Paralyzed_Description","Causes the paralyzed condition."
"ItemFlagPoison_Restrained_Description","Causes the restrained condition."
"ItemFlagPoison_Overtime_Description","Deals damage over time."
"ItemFlagPoison_Blinded_Description","Causes the blinded condition."
"EncryptedSpellbook_Title","Encrypted Spellbook"
"EncryptedSpellbook_Description","A mysterious spellbook written in some obscure code. Maybe experts from the Circle of Danantar could use it."
"ContainerTrunkTitle","Trunk"
"EarlyBird_Function_Title","Increased Initiative"
"EarlyBird_Function_Description","Increases your initiative by 2 when worn around the neck."
"MarkOfTheCrown_Title","Mark of the Crown"
"MarkOfTheCrown_Description","Since you've been deprived of the crown, you can't put anything else on your head. It kind of feels like the crown is still here, probably a side effect of the attunement with its phenomenal magic."
"TagLightWeaponTitle","Light"
"StandardBrassKeyTitle","Brass Key"
"StandardSilverKeyTitle","Silver Key"
"StandardGoldKeyTitle","Gold Key"
"StandardIronKeyTitle","Iron Key"
"StandardDragonKeyTitle","Dragon Key"
"StandardKeyDescription","A key meant to open a locked door or container"
"BlackBearPelt_Title","Black Bear Pelt"
"BlackBearPelt_Description","Take from the corpse of a Black Bear, this might be used to craft clothes."
"BrownBearPelt_Title","Brown Bear Pelt"
"BrownBearPelt_Description","Take from the corpse of a Brown Bear, this might be used to craft clothes."
"GemBlack_Pearl_PowderTitle","Black Pearl powder"
"GemBlack_Pearl_PowderDescription","Material component necessary to cast the spell Circle of Death"
"Small_Crystal_SphereTitle","Small Crystal Sphere"
"Small_Crystal_SphereDescription","Material component necessary to cast the spell Freezing Sphere"
"Eyes_OintmentTitle","Ointment"
"Eyes_OintmentDescription","Material component necessary to cast the spell True Seeing."
"DLC1_VIP_Green_Book_Title","Green Book"
"DLC1_VIP_Green_Book_Description","This notebook contains encrypted information, and might have belonged to Marin Ving."
"DLC1_Antique_Title","Antiquity"
"DLC1_Antique_Description","A piece of marble of Tirmarian origin, as the damaged writings prove."
"ScrollFreezingSphereTitle","Freezing Sphere"
"ScrollFreezingSphereDescription","When you use this scroll, you can the spell Freezing Sphere."
"ScrollCircleOfDeathTitle","Circle of death"
"ScrollCircleOfDeathDescription","When you use this scroll, you can the spell Circle of death."
"ScrollTrueSeeingTitle","True Seeing"
"ScrollTrueSeeingDescription","When you use this scroll, you can the spell True Seeing."
"ScrollResurrectionTitle","Scroll of Resurrection"
"ScrollResurrectionDescription","When you use this scroll, you cast the Resurrection spell."
"ScrollBladeBarrierTitle","Scroll of Blade Barrier"
"ScrollBladeBarrierDescription","When you use this scroll, you cast the spell Blade Barrier"
"ScrollChainLightningTitle","Scroll of Chain Lightning"
"ScrollChainLightningDescription","When you use this scroll, you cast the spell Chain Lightning"
"ScrollDisintegrateTitle","Scroll of Disintegrate"
"ScrollDisintegrateDescription","When you use this scroll, you cast the spell Disintegrate"
"ScrollEyeBiteTitle","Scroll of Eyebite"
"ScrollEyeBiteDescription","When you use this scroll, you cast the spell Eyebite"
"ScrollGlobeOfInvulnerabilityTitle","Scroll of Globe of Invulnerability"
"ScrollGlobeOfInvulnerabilityDescription","When you use this scroll, you cast the spell Globe of invulnerability"
"ScrollHarmTitle","Scroll of Harm"
"ScrollHarmDescription","When you use this scroll, you cast the spell Harm"
"ScrollHealTitle","Scroll of Heal"
"ScrollHealDescription","When you use this scroll, you cast the spell Heal"
"ScrollSunbeamTitle","Scroll of Sunbeam"
"ScrollSunbeamDescription","When you use this scroll, you cast the spell Sunbeam"
"ScrollHeroesFeastTitle","Scroll of Heroes' Feast"
